"","kingdom","phylum","class","order","family","genus","species"
"gMOTU_321","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_distinctus"
"gMOTU_325","Metazoa","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae","Lithobius","Lithobius_calcaratus"
"gMOTU_348","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Xestophanes","Xestophanes_potentillae"
"gMOTU_377","Metazoa","Arthropoda","Diplopoda","Julida","Julidae","Brachyiulus","Brachyiulus_pusillus"
"gMOTU_382","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Allomengea","Allomengea_vidua"
"gMOTU_399","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya_intermedia"
"gMOTU_412","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","Agriotes_lineatus"
"gMOTU_423","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Pholcomma","Pholcomma_gibbum"
"gMOTU_427","Metazoa","Arthropoda","Arachnida","Mesostigmata","Macrochelidae","Macrocheles","Macrocheles_praedafimetorum"
"gMOTU_428","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Ozyptila","Ozyptila_brevipes"
"gMOTU_443","Metazoa","Arthropoda","Insecta","Hemiptera","Lygaeidae","Kleidocerys","Kleidocerys_resedae"
"gMOTU_460","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Micaria","Micaria_pulicaria"
"gMOTU_471","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Enoplognatha","Enoplognatha_ovata"
"gMOTU_501","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Orchesella","Orchesella_sp._BIOUG09131-F01"
"gMOTU_504","Metazoa","Arthropoda","Arachnida","Trombidiformes","Trombiculidae","Neotrombicula","Neotrombicula_vulgaris"
"gMOTU_528","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Lesteva","Lesteva_sicula"
"gMOTU_557","Metazoa","Arthropoda","Diplopoda","Chordeumatida","Chordeumatidae","Melogona","Melogona_gallica"
"gMOTU_603","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Labulla","Labulla_thoracica"
"gMOTU_714","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Tenuiphantes","Tenuiphantes_alacris"
"gMOTU_778","Metazoa","Arthropoda","Insecta","Diptera","Sphaeroceridae","Rachispoda","Rachispoda_sp._PK02"
"gMOTU_799","Metazoa","Arthropoda","Insecta","Lepidoptera","Saturniidae","Rhodinia","Rhodinia_rudloffi"
"gMOTU_865","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Dicranomyia","Dicranomyia_sp._BOLD:AAI1352"
"gMOTU_928","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Quedius","Quedius_levicollis"
"gMOTU_997","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Tortrix","Tortrix_celatrix"
"gMOTU_998","Metazoa","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","Ectopsocus_sp._BIOUG04200-D12"
"gMOTU_1319","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya_sp._BIOUG27131-H10"
"zMOTU_1","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lycophotia","Lycophotia_porphyrea"
"zMOTU_3","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","none","Limoniidae_sp._10FD02"
"zMOTU_8","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Caenopsis","Caenopsis_waltoni"
"zMOTU_11","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Quedius","Quedius_fuliginosus"
"zMOTU_12","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Lagria","Lagria_hirta"
"zMOTU_17","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilarctia","Spilarctia_luteum"
"zMOTU_18","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_oleracea"
"zMOTU_20","Metazoa","Arthropoda","Insecta","Coleoptera","Brentidae","Protapion","Protapion_fulvipes"
"zMOTU_24","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Othius","Othius_subuliformis"
"zMOTU_30","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Gymnoscelis","Gymnoscelis_rufifasciata"
"zMOTU_31","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Micromus","Micromus_variegatus"
"zMOTU_34","Metazoa","Arthropoda","Insecta","Lepidoptera","Blastobasidae","Blastobasis","Blastobasis_adustella"
"zMOTU_41","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","Agrotis_exclamationis"
"zMOTU_48","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria","Atomaria_analis"
"zMOTU_49","Metazoa","Arthropoda","Insecta","Lepidoptera","Crambidae","Agriphila","Agriphila_straminella"
"zMOTU_52","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","Neon","Neon_reticulatus"
"zMOTU_66","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Peribatodes","Peribatodes_rhomboidaria"
"zMOTU_67","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Micromus","Micromus_angulatus"
"zMOTU_73","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_sp._BIOUG31069-H01"
"zMOTU_84","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum","Agonum_fuliginosum"
"zMOTU_86","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Pandemis","Pandemis_cerasana"
"zMOTU_113","Metazoa","Arthropoda","Insecta","Diptera","Phoridae","Megaselia","Megaselia_sp._4_SH-2017"
"zMOTU_117","Metazoa","Arthropoda","Insecta","Diptera","Anisopodidae","Sylvicola","Sylvicola_cinctus"
"zMOTU_119","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Cladius","Cladius_pectinicornis"
"zMOTU_120","Metazoa","Arthropoda","Insecta","Diptera","Phoridae","Megaselia","Megaselia_sp._BIOUG24152-C11"
"zMOTU_134","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Diplostyla","Diplostyla_concolor"
"zMOTU_138","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea_cf._monoglypha_4FC01"
"zMOTU_142","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Schrankia","Schrankia_costaestrigalis"
"zMOTU_147","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctua","Noctua_interjecta"
"zMOTU_150","Metazoa","Arthropoda","Insecta","Diptera","Mycetophilidae","Mycetophila","Mycetophila_sp._BIOUG22064-D04"
"zMOTU_151","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Myrmarachne_formicaria"
"zMOTU_162","Metazoa","Arthropoda","Insecta","Blattodea","Ectobiidae","Ectobius","Ectobius_pallidus"
"zMOTU_203","Metazoa","Arthropoda","Arachnida","Araneae","Mimetidae","Ero","Ero_cambridgei"
"zMOTU_218","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Palliduphantes","Palliduphantes_pallidus"
"zMOTU_220","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tachyporus","Tachyporus_atriceps"
"zMOTU_236","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Dicranomyia","Dicranomyia_modesta"
"zMOTU_240","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_paludosa"
"zMOTU_241","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Mesapamea","Mesapamea_secalis"
"zMOTU_291","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Othius","Othius_punctulatus"
"zMOTU_292","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea","Idaea_dimidiata"
"zMOTU_299","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Limnophyes","Limnophyes_sp._14ES"
"zMOTU_307","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa_hyperborea"
"zMOTU_312","Metazoa","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Arogalea","Arogalea_cristifasciella"
"zMOTU_375","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Stenus","Stenus_brunnipes"
"zMOTU_430","Metazoa","Arthropoda","Insecta","Diptera","Psychodidae","Clytocerus","Clytocerus_ocellaris"
"zMOTU_431","Metazoa","Arthropoda","Insecta","Lepidoptera","Glyphipterigidae","Glyphipterix","Glyphipterix_simpliciella"
"zMOTU_456","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Obscuriphantes","Obscuriphantes_obscurus"
"zMOTU_516","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","none","Chironomidae_sp._BIOUG02394-D04"
"zMOTU_525","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acanthoclita","Acanthoclita_sp._ANIC3"
"zMOTU_685","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Eupithecia","Eupithecia_sp._BOLD:AAW1262"
"zMOTU_754","Metazoa","Arthropoda","Insecta","Lepidoptera","Crambidae","Elophila","Elophila_icciusalis"
