"","kingdom","phylum","class","order","family","genus","species"
"zMOTU_76","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Chaetosa","Chaetosa_palpalis"
"zMOTU_78","Metazoa","Arthropoda","Insecta","Lepidoptera","Argyresthiidae","Argyresthia","Argyresthia_conjugella"
"zMOTU_79","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Hydriomena","Hydriomena_furcata"
"zMOTU_80","Metazoa","Arthropoda","Insecta","Lepidoptera","Coleophoridae","Coleophora","Coleophora_albicosta"
"zMOTU_81","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Pseudargyrotoza","Pseudargyrotoza_conwagana"
"zMOTU_83","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_pini"
"zMOTU_86","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Pandemis","Pandemis_cerasana"
"zMOTU_88","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Aethes","Aethes_cnicana"
"zMOTU_94","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epiphyas","Epiphyas_postvittana"
"zMOTU_96","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia_tedella"
"zMOTU_97","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Eupsilia","Eupsilia_transversa"
"zMOTU_105","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cnephasia","Cnephasia_incertana"
"zMOTU_115","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Celypha","Celypha_lacunana"
"zMOTU_116","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Apotomis","Apotomis_spinulana"
"zMOTU_117","Metazoa","Arthropoda","Insecta","Diptera","Anisopodidae","Sylvicola","Sylvicola_cinctus"
"zMOTU_121","Metazoa","Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","Culicoides_impunctatus"
"zMOTU_124","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Ancylis","Ancylis_geminana"
"zMOTU_127","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Biston","Biston_stratarius"
"zMOTU_130","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Micropterna","Micropterna_sequax"
"zMOTU_137","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Odontopera","Odontopera_bidentata"
"zMOTU_141","Metazoa","Arthropoda","Insecta","Diptera","Pediciidae","Ula","Ula_sylvatica"
"zMOTU_142","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Schrankia","Schrankia_costaestrigalis"
"zMOTU_144","Metazoa","Arthropoda","Insecta","Diptera","Ceratopogonidae","Forcipomyia","Forcipomyia_sp._BIOUG21147-A02"
"zMOTU_146","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_micans"
"zMOTU_150","Metazoa","Arthropoda","Insecta","Diptera","Mycetophilidae","Mycetophila","Mycetophila_sp._BIOUG22064-D04"
"zMOTU_152","Metazoa","Arthropoda","Insecta","Lepidoptera","Depressariidae","Pseudatemelia","Pseudatemelia_josephinae"
"zMOTU_155","Metazoa","Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","Polycentropus_kingi"
"zMOTU_157","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Limonia","Limonia_sp._BOLD:AAI1356"
"zMOTU_159","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Lathronympha","Lathronympha_strigana"
"zMOTU_160","Metazoa","Arthropoda","Insecta","Diptera","Psilidae","none","Psilidae_sp._BIOUG31118-E07"
"zMOTU_169","Metazoa","Arthropoda","Insecta","Lepidoptera","Depressariidae","Agonopterix","Agonopterix_conterminella"
"zMOTU_170","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Culiseta","Culiseta_fumipennis"
"zMOTU_171","Metazoa","Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Simulium_cryophilum"
"zMOTU_172","Metazoa","Arthropoda","Insecta","Diptera","Mycetophilidae","Neuratelia","Neuratelia_nemoralis"
"zMOTU_179","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_sp._BIOUG19532-C04"
"zMOTU_183","Metazoa","Arthropoda","Insecta","Diptera","Psilidae","Psila","Psila_sp._BIOUG31104-D10"
"zMOTU_186","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Microtendipes","Microtendipes_pedellus"
"zMOTU_187","Metazoa","Arthropoda","Insecta","Lepidoptera","Drepanidae","Falcaria","Falcaria_lacertinaria"
"zMOTU_188","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_varipennis"
"zMOTU_189","Metazoa","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Mesochorus","Mesochorus_suomiensis"
"zMOTU_193","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Diarsia","Diarsia_brunnea"
"zMOTU_194","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Culiseta","Culiseta_nr._morsitans_APHA-8-2015A12"
"zMOTU_199","Metazoa","Arthropoda","Insecta","Diptera","Empididae","Empis","Empis_stercorea"
"zMOTU_202","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia_bilunana"
"zMOTU_205","Metazoa","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Teleiodes","Teleiodes_wagae"
"zMOTU_206","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Aphelia","Aphelia_unitana"
"zMOTU_210","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_sp._BIOUG19216-B12"
"zMOTU_213","Metazoa","Arthropoda","Insecta","Diptera","Muscidae","Polietes","Polietes_lardarius"
"zMOTU_222","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Metalimnobia","Metalimnobia_triocellata"
"zMOTU_224","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","none","Limoniinae_sp._BOLD:ABZ1300"
"zMOTU_225","Metazoa","Arthropoda","Insecta","Diptera","Tachinidae","none","Tachinidae_sp._10FD01"
"zMOTU_226","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Ancylis","Ancylis_badiana"
"zMOTU_229","Metazoa","Arthropoda","Insecta","Diptera","Keroplatidae","Macrocera","Macrocera_parva"
"zMOTU_233","Metazoa","Arthropoda","Insecta","Lepidoptera","Batrachedridae","Batrachedra","Batrachedra_praeangusta"
"zMOTU_236","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Dicranomyia","Dicranomyia_modesta"
"zMOTU_240","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_paludosa"
"zMOTU_242","Metazoa","Arthropoda","Insecta","Trichoptera","Odontoceridae","Odontocerum","Odontocerum_albicorne"
"zMOTU_244","Metazoa","Arthropoda","Insecta","Diptera","Anisopodidae","Sylvicola","Sylvicola_sp._BIOUG25496-E07"
"zMOTU_245","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea","Idaea_biselata"
"zMOTU_250","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Glyphotaelius","Glyphotaelius_pellucidus"
"zMOTU_252","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Diarsia","Diarsia_rubi"
"zMOTU_258","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Culiseta","Culiseta_annulata"
"zMOTU_282","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cochylis","Cochylis_nana"
"zMOTU_285","Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae","none","Cecidomyiidae_sp._BIOUG21359-A01"
"zMOTU_303","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_sp._BIOUG00839-D09"
"zMOTU_325","Metazoa","Arthropoda","Insecta","Lepidoptera","Crambidae","none","Crambidae_sp._BOLD:AAC0540"
"zMOTU_331","Metazoa","Arthropoda","Insecta","Lepidoptera","none","none","Lepidoptera_sp._BOLD:AAI6730"
"zMOTU_334","Metazoa","Arthropoda","Insecta","Lepidoptera","Notodontidae","Oricia","Oricia_sp._truncataDHJ03"
"zMOTU_354","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_discretus"
"zMOTU_358","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Anisoperas","Anisoperas_sp._BOLD:AAI4624"
"zMOTU_370","Metazoa","Arthropoda","Insecta","Lepidoptera","Crambidae","Eudonia","Eudonia_lacustrata"
"zMOTU_372","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Micropterna","Micropterna_lateralis"
"zMOTU_374","Metazoa","Arthropoda","Insecta","Diptera","Dolichopodidae","Gymnopternus","Gymnopternus_sp._BOLD:ACA1110"
"zMOTU_378","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Culex","Culex_quinquefasciatus"
"zMOTU_396","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Notocelia","Notocelia_illotana"
"zMOTU_400","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Eucosma","Eucosma_parvulana"
"zMOTU_415","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","none","Chironominae_sp._BIOUG23326-B03"
"zMOTU_421","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Apotomis","Apotomis_sauciana"
"zMOTU_440","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Orthotaenia","Orthotaenia_undulana"
"zMOTU_443","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Tholera","Tholera_americana"
"zMOTU_450","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris_schalleriana"
"zMOTU_476","Metazoa","Arthropoda","Insecta","Lepidoptera","none","none","Lepidoptera_sp._BOLD:AAA0078"
"zMOTU_504","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Richia","Richia_chortalis"
"zMOTU_531","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Eucosma","Eucosma_monitorana"
"zMOTU_573","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Apotomis","Apotomis_sp._BIOUG27506-A02"
"zMOTU_576","Metazoa","Arthropoda","Insecta","Lepidoptera","Elachistidae","Elachista","Elachista_pollinariella"
"zMOTU_621","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Pseudomennis","Pseudomennis_dioptoides"
"zMOTU_719","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Charissa","Charissa_predotae"
"zMOTU_733","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_sp._BIOUG21783-H03"
"zMOTU_753","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Machaeritis","Machaeritis_sp._ANIC2"
"zMOTU_885","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Dasypolia","Dasypolia_sp._AS-2010a"
"zMOTU_955","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_usitata"
"zMOTU_1122","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Syricoris","Syricoris_lacunana"
"zMOTU_1147","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctia","Arctia_villica"
"zMOTU_1213","Metazoa","Arthropoda","Insecta","Diptera","Anthomyiidae","Delia","Delia_lineariventris"
"zMOTU_1472","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_stercoraria"
"zMOTU_2231","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Apotomis","Apotomis_capreana"
"zMOTU_2304","Metazoa","Arthropoda","Insecta","Diptera","Psilidae","Chamaepsila","Chamaepsila_rosae"
